conversation_id,start_utc,duration_secs,cost_credits,llm_charge,call_charge,llm_price_usd,tier,status
conv_3701krxkrs8ffrja25qm75pd6ncy,2026-05-18T13:17:59.000Z,601,4459,51,4408,0.009255000000000001,creator,done
conv_1901krxkpydvfa5a3amctartqx3e,2026-05-18T13:17:02.000Z,22,162,0,162,0.0000814,creator,done
conv_2601krxknrkpf1avt725ved5dfap,2026-05-18T13:16:27.000Z,5,41,0,41,0,creator,done
conv_7301krxkm6d9fxzszx92z4526kvj,2026-05-18T13:16:13.000Z,0,0,,,,,failed
conv_3701krxkj2gwem7apjps4bagf93p,2026-05-18T13:14:19.000Z,32,237,0,237,0.00007370000000000002,creator,done
conv_7001krxkcy9mf5rb2c54wnt159ca,2026-05-18T13:11:37.000Z,24,196,17,179,0.0031138,creator,done
conv_2101krxkazncek5tnz0eggd3ey79,2026-05-18T13:10:27.000Z,32,238,0,238,0.0000814,creator,done
conv_2801krr7gf8peeaahf1kzamf9vbt,2026-05-16T11:07:34.000Z,2,0,0,0,0,creator,failed
conv_7501krr7evzge6ktjarkzjkvteer,2026-05-16T11:07:25.000Z,0,0,,,,,failed
conv_2901krr7dsy9fwxb4knrr8xa5gk6,2026-05-16T11:06:33.000Z,0,0,,,,,failed
conv_2101krr7cg9rfxjbbyvygmzd6h9y,2026-05-16T11:05:29.000Z,2,0,0,0,0,creator,failed
conv_3301krr7aqjhe83bg2g1qy58a0b7,2026-05-16T11:05:13.000Z,0,0,,,,,failed
conv_6801krr795wsekr9sckaw4dtr5dp,2026-05-16T11:04:17.000Z,0,0,,,,,failed
conv_7001krr77sqpe5ps29fjmd6641ez,2026-05-16T11:02:46.000Z,2,0,0,0,0,creator,failed
conv_5601krr77940feqa2dfvzmphe80e,2026-05-16T11:02:41.000Z,0,0,,,,,failed
conv_8201krr76f5cepds0mh9h2masmt0,2026-05-16T11:02:06.000Z,2,0,0,0,0,creator,failed
conv_0001krr74m3mf1c9n160gr48eatn,2026-05-16T11:01:19.000Z,2,0,0,0,0,creator,failed
conv_6801krr736tse38s9tpe37ndt2w5,2026-05-16T11:00:54.000Z,0,0,,,,,failed
conv_5301krr71hwqe3cvw0j6y42f7xy3,2026-05-16T11:00:11.000Z,0,0,,,,,failed
conv_1201krr703hnfay82axnkv327dsh,2026-05-16T10:59:16.000Z,0,0,,,,,failed
conv_7901krr6y4gde2ev2ywbvaryzqjd,2026-05-16T10:57:44.000Z,2,0,0,0,0,creator,failed
conv_9201krr6wm6zev9vtwqwxadmtawt,2026-05-16T10:56:52.000Z,2,0,0,0,0,creator,failed
conv_0501krr6tq82fsma0gtd1zy7h99v,2026-05-16T10:56:34.000Z,0,0,,,,,failed
conv_6701krr6te31eepa7qse33ychbzg,2026-05-16T10:55:32.000Z,0,0,,,,,failed
conv_6101krr6sm9be5j8kydcgec485g3,2026-05-16T10:55:22.000Z,0,0,,,,,failed
conv_1101krr6sggafg2a05sar709yrat,2026-05-16T10:54:56.000Z,0,0,,,,,failed
conv_5101krr6q827fsg9zecq746z8c4d,2026-05-16T10:54:20.000Z,2,0,0,0,0,creator,failed
conv_9901krr6ph5xee28a4b1ft0jetsz,2026-05-16T10:53:39.000Z,0,0,,,,,failed
conv_8101krr6mz4cfqwsc5fmk6p49hbh,2026-05-16T10:53:14.000Z,0,0,,,,,failed
conv_1701krr6m2e5f5ttbwdnrybfa7q0,2026-05-16T10:52:00.000Z,2,0,0,0,0,creator,failed
conv_2601krr6k4r7e2nr3vvdrenn7h7w,2026-05-16T10:51:39.000Z,2,0,0,0,0,creator,failed
conv_1601krr6ja2qf3z972r4s8wbxxeb,2026-05-16T10:51:01.000Z,2,0,0,0,0,creator,failed
conv_5401krr6gcksfdetba0dmb01f3sq,2026-05-16T10:50:20.000Z,2,0,0,0,0,creator,failed
conv_6101krr6est1eezr1smah7yvx10z,2026-05-16T10:49:29.000Z,2,0,0,0,0,creator,failed
conv_3301krr6e5qnewpay55xmaez7fnx,2026-05-16T10:49:01.000Z,0,0,,,,,failed
conv_5201krr6cpr4f0jagqtc9b3zy96j,2026-05-16T10:48:40.000Z,0,0,,,,,failed
conv_8601krr6bw0wf7rr37tnp4a8gg6c,2026-05-16T10:47:52.000Z,0,0,,,,,failed
conv_3301krr6aj5vew0bfmrd174z4jx5,2026-05-16T10:47:06.000Z,3,0,0,0,0,creator,failed
conv_4201krr692h4fw6vtb226jpcqzp2,2026-05-16T10:46:42.000Z,0,0,,,,,failed
conv_2001krr67dpee43t4sn2xrx4tcn2,2026-05-16T10:45:17.000Z,2,0,0,0,0,creator,failed
conv_7801krr65cn3f78a32wp35dnn4qa,2026-05-16T10:44:12.000Z,2,0,0,0,0,creator,failed
conv_7701krr63psneb6ryaameywayep1,2026-05-16T10:43:16.000Z,2,0,0,0,0,creator,failed
conv_0101krr62ay1fw09k6c9xjhnhdde,2026-05-16T10:42:27.000Z,2,0,0,0,0,creator,failed
conv_6501krr60dtaf63twbbgn8jbzfep,2026-05-16T10:42:10.000Z,0,0,,,,,failed
conv_9901krr5xjwaf24ae6ccztzqpn2j,2026-05-16T10:40:09.000Z,2,0,0,0,0,creator,failed
conv_8301krr5wbh7fyhrg7xdds8x6a3s,2026-05-16T10:39:14.000Z,0,0,,,,,failed
conv_7401krr5tdq7eamvqn65y3w05yzc,2026-05-16T10:38:15.000Z,2,0,0,0,0,creator,failed
conv_0801krr5sb94fvkbcvzk3d36szt3,2026-05-16T10:37:29.000Z,2,0,0,0,0,creator,failed
conv_5001krr5rkptfssafbfwy94sq1y7,2026-05-16T10:37:19.000Z,0,0,,,,,failed
conv_0001krr5qkykexnt8w19wpwrge2h,2026-05-16T10:36:37.000Z,2,0,0,0,0,creator,failed
conv_4601krr5nvf9fd98gt48aef8n8hf,2026-05-16T10:35:48.000Z,10,5,0,5,0,creator,done
conv_4901krr5m2z7fwgb3xvfqh7z92yc,2026-05-16T10:34:31.000Z,17,5,0,5,0.000054600000000000006,creator,failed
conv_0701krr58cfxewkajvdzf8q1agj8,2026-05-16T10:28:08.000Z,348,2455,22,2433,0.0040841,creator,failed
conv_2001krr4zx1affrsexhee7fjsvzh,2026-05-16T10:23:36.000Z,235,1804,80,1724,0.014484200000000003,creator,done
conv_5001krr4x25qer7s8azn7y194nm8,2026-05-16T10:22:09.000Z,53,392,2,390,0.0005028000000000001,creator,done
conv_4801krr4v9p7fct8rmwmtdsrv0zn,2026-05-16T10:21:04.000Z,12,85,0,85,0,creator,done
conv_0601krr4stm0f1gb9svst2923dk8,2026-05-16T10:20:29.000Z,7,54,0,54,0,creator,done
conv_4801krr4s3sffmp8ephhgvd0wy00,2026-05-16T10:20:05.000Z,0,0,,,,,failed
conv_9501krr4q5bsf2gtqg80ayt3v4am,2026-05-16T10:19:40.000Z,0,0,,,,,failed
conv_8901krr4pm7tey5bmgav2g5w01v4,2026-05-16T10:18:39.000Z,0,0,,,,,failed
conv_5801krqhy53xen7vzf9e0n9ctw08,2026-05-16T04:50:29.000Z,76,557,1,556,0.0002205,creator,done
conv_6801krqhxct6etq8z9d8s880x7y7,2026-05-16T04:50:24.000Z,0,0,,,,,failed
conv_3301krqhvr0cepnb4kmjx9q2e3dx,2026-05-16T04:49:23.000Z,18,131,0,131,0,creator,done
conv_1801krqhh64cf148wyhfntgw3qg8,2026-05-16T04:43:59.000Z,283,2152,78,2074,0.014156,creator,done
conv_6901krdttgdnf5avycxhpv22smsq,2026-05-12T10:13:30.000Z,0,0,,,,,initiated
conv_3501krdg7tede31asedhj0xedd2w,2026-05-12T07:08:21.000Z,85,684,60,624,0.010851900000000001,creator,done
conv_4301krdazegdem0smkfwscdqtkds,2026-05-12T05:36:33.000Z,398,3076,160,2916,0.029027900000000002,creator,done
conv_4101krdamtgpegk8xxz1hhf9v0pv,2026-05-12T05:30:46.000Z,31,226,0,226,0.0000864,creator,done
conv_0101kr3fnkzye158562btc2w8e3z,2026-05-08T09:46:28.000Z,0,0,,,,,failed
conv_8401kr19hjcqfx0tdb9s9n65k0js,2026-05-07T13:20:28.000Z,5,39,0,39,0,creator,done
conv_4801kr15gqc0etwsanvmpa9fwjny,2026-05-07T12:11:06.000Z,0,0,,,,,failed
conv_5301kr1568mwfaf97z07resknadx,2026-05-07T12:05:23.000Z,0,0,,,,,failed
conv_7001kr155z5sepkszwdkxyramfcm,2026-05-07T12:04:13.000Z,7,47,0,47,0,creator,done
conv_8401kr155aeyezevan70jdzgcwm1,2026-05-07T12:03:58.000Z,0,0,,,,,initiated
conv_2501kr15196gfp59pg26vn5ed627,2026-05-07T12:01:52.000Z,0,0,,,,,initiated
conv_8001kr0vye0efcaarmtqbydwvk2v,2026-05-07T09:23:43.000Z,0,0,,,,,failed
conv_0701kr0p0sazfmq852w0e3frxyty,2026-05-07T07:39:45.000Z,0,0,,,,,failed
conv_7301kr0nz8pbfpksf2wf0a9jcvw1,2026-05-07T07:39:07.000Z,0,0,,,,,failed
conv_3701kqyq6zjpf5vaf7fm773kpkn8,2026-05-06T13:21:46.000Z,0,0,,,,creator,failed
conv_2101kqynt1z9fxe8c81eted736sv,2026-05-06T12:57:06.000Z,70,587,69,518,0.012608850000000001,creator,done
conv_5901kqyn7wzmfdkrk6hgx5w6bdg8,2026-05-06T12:47:27.000Z,24,191,9,182,0.00163963,creator,done
conv_5801kqyn5kw1ewt9kgvj4dvc6jdq,2026-05-06T12:46:16.000Z,80,638,54,584,0.00988097,creator,done
conv_3601kqykncs8eb28k8handpp49w0,2026-05-06T12:19:36.000Z,38,358,79,279,0.01433085,creator,done
conv_5601kqyk88myev78k325ybdqe1qv,2026-05-06T12:13:11.000Z,0,0,,,,,failed
conv_6201kqygr0mreqmb8sq3qmx1yf1d,2026-05-06T11:28:36.000Z,236,1868,137,1731,0.024782099999999998,creator,done
conv_1001kqyajz87fd4shaezehcc40vk,2026-05-06T09:40:59.000Z,92,716,42,674,0.0075750999999999995,creator,done
conv_8001kqyaf113ep1vy4cdrz7jxxsv,2026-05-06T09:38:50.000Z,52,395,15,380,0.0028712,creator,done
conv_1701kqya7zazfx6t51vjzk4zqvva,2026-05-06T09:34:59.000Z,120,945,61,884,0.0111178,creator,done
conv_8801kqy21zwmfyv8x7y37x4h4zw7,2026-05-06T07:11:54.000Z,125,979,65,914,0.011816250000000002,creator,done
conv_9401kqy1z1nvfwprw5f9b456crky,2026-05-06T07:10:18.000Z,23,176,6,170,0.00103875,creator,done
conv_0401kqxyw2y9eb1rmg5zyjtyf8gn,2026-05-06T06:16:15.000Z,165,1443,230,1213,0.0418666,creator,done
conv_9101kqxyjwa6f7ja3yg2eq3y9zmg,2026-05-06T06:11:13.000Z,114,994,163,831,0.02968145,creator,done
conv_2401kqxy87ywe79877nhsgc6tyv7,2026-05-06T06:05:25.000Z,335,2975,516,2459,0.0937405,creator,done
conv_7001kqxy7dgfe54twjjnbt5pxmt3,2026-05-06T06:05:07.000Z,0,0,,,,,initiated
conv_5701kqw98fvje8gsrkcx019s07v2,2026-05-05T14:39:27.000Z,351,4465,1892,2573,0.34386490000000003,creator,done
conv_9301kqvxj4q7fr7ty77a68t84wz1,2026-05-05T11:14:52.000Z,111,1004,186,818,0.0338954,creator,done
conv_4201kqvxa1r4e82927245kzbka4v,2026-05-05T11:10:26.000Z,242,2049,274,1775,0.04975135,creator,done
conv_5401kqvx4q65ea1vkwmbexsyrb27,2026-05-05T11:07:42.000Z,142,1136,94,1042,0.016972649999999992,creator,done
conv_6401kqvwbc0yftw8w4y76mkn3m1r,2026-05-05T10:53:41.000Z,216,1820,239,1581,0.043318550000000004,creator,done
conv_8301kqvvq7qgfpqtweap4yc11cwq,2026-05-05T10:42:50.000Z,215,1730,155,1575,0.028259549999999994,creator,done
conv_9501kqvpet4vew88pr3v7v5z1shj,2026-05-05T09:10:51.000Z,273,2116,116,2000,0.021217450000000002,creator,done
conv_4801kqvkynwyf0prspyek1pjepyy,2026-05-05T08:26:57.000Z,151,1162,49,1113,0.008818949999999999,creator,done
conv_0101kqvknffmfbgbft603aa6548a,2026-05-05T08:22:05.000Z,322,2890,529,2361,0.09608335,creator,done
conv_3001kqvhykkef0srhxkphqrqr2cr,2026-05-05T07:51:57.000Z,46,58,26,32,0.004714349999999999,creator,done
conv_9901kqsf99twekttjkq8p935dn87,2026-05-04T12:26:53.000Z,602,22,6,16,0.0011231,creator,done
